,Tweet,Label,Panjang_tweet,Jumlah_kalimat
946,"pas sma ga pernah bawa uang saku karena sekolahan deket banget dari rumah, bisa jalan. kadang males banget kalo kerkom jauh-jauh banget karena pulangnya suka malem dan kalau bayar ojol jadi mahal, mending aku kerjain sendiri. bikin sakit hati",Anger,242,39
947,sayang tidak suka ya kalo sih pacar mu itu dateng pada acara meet and greet kamu nanti saya harap kamu menghargai perasaan fans saya tidak mau acara kamu kacau hanya karna pacar mu itu dateng .,Anger,193,36
948,"aga emosi pengen datengin ksy terus tanyain ""elo udah punya pacar beneran ga si? emosi banget, suka tmi ke anak yang ngecrush in elo, gelud kita yokk"" ayo lanjut lagi pengen marah2 tapi gada hal yang mau ku marahin",Anger,214,39
949,sumpah anjrit ngerjain revisian tuh kenapa berat banget siihh males nya ituloh. kek paling beraat banget suka heran sama diri sendiri,Anger,133,21
950,"emg org suka gitu.. udh nitip gatau diri setidaknya kyk haii kak.. atau pagi kak,aku boleh nitip menpes ga? gitu aja pasti bisa kan.. trus jg jgn lupa bilang terima kasih itu tata krama yg pasti di ajarin kok dari kecill. bikin jengkel aja pagi-pagi",Anger,249,45
951,heran banget sama orang orang yang suka nunda kerjaan tanpa alasan.,Anger,67,11
952,"gue pernah nih dapet cerita soal begini dari mulut anak cowo langsung, yang diginiin tuh anak cewe yang kebetulan emang gk terlalu di sukain sama anak kelas. walau gue juga gk suka sama nih cewek karena kelakuannya yang begitu tapi keterlaluan banget gue denger ceritanya juga”",Anger,277,46
953,"gue baik banget apa ya sampe orang suka minjem duit, minta jawaban maksa",Anger,72,13
954,"w clingynya suka peluk peluk bkn ini anjing, ini apaan gajelas banget",Anger,69,12
955,"fi: lucu cara ngomongnya kayak arashi ih. ci: idih fiel jelek banget suka mleyotin orang, suka ngajak gelut pula, aneh…",Anger,119,20
956,gue gak sanggup banget sama gacie. tumbalin aja ke zombie secara suka rela nanti.,Anger,81,14
957,"sorry. kesel banget sama orang2 kaya gini. harus berapa kali gue jelasin. capek. lo pada suka anime lah, bola lah, blabla gue mana ada sih komen??!?!",Anger,149,26
958,"aku lumayan kesel sama jawabannya, jadi aku cuma ngangguk2 doang. terus kedua temenku juga bilang gini, ""aku keluar karena army banyak banget yang to*ic. suka mancing keributan."" batinku, ""halah, apa nggak salah?"" bayangin, sakit hati nggak digituin padahal mereka jelas tau--",Anger,276,41
959,knapa dh suka banget nyerang love language gue,Anger,46,8
960,"tp di dunia yg skrg ini kek nya malah jadi ancaman deh buat para cewe. dan sekali lagi kalo ada cowo di luaran sana yg masih suka cat calling cewe, lo tuh freak banget anjj.",Anger,173,35
961,"suka gak abis pikir klo orang punya pikiran selingkuh/main belakang kek heh anjg pacar lu mati""an jaga lu, ngurus hidup lu yg gak seberapa bagus, ngerawat lu, tpi masih mikir buat selingkuh?? sumpah sampah banget",Anger,212,35
962,"haha, itu jaksel day ngebekas banget jadi bikin aku suka ngetik i bercampur language. t ____ t keki banget",Anger,106,19
963,emang gublug sih org2 yg suka banget masang lampu2 led begini dibelakang mobil. dia ga tau apa bs bahayain mobil belakang nya kalo malam apalg di tol. biasa bawa angkot kali ?,Anger,175,32
964,suka ksl sama bt banget dehh dia suka marah klo aku ga ngabarin dia dlu klo mau pergi tpii dia sendiri klo mau pergi ngabarinnya pass udh di tempat ks gaksi,Anger,156,31
965,"ge tuh heran juga ya, video video keluhan kayak gini tu kan udah banyak banget, apa yg suka pasang pasang beginian ini gak pernah nonton, apa gak punya sosmed, apa kuper, apa emang bebal aja otaknya..",Anger,200,36
966,"biasanya yg pink sekarang yg ungu, ternyata ga suka wanginya plis ini kaya bau orang yg aku ga suka banget, sialan ternyata dia pake ini",Anger,136,25
967,"negara emang suka gitu ya, ada isu satu yg gede, dia bikin kebijakan biar bikin pecah fokus. itu isu anak pak lurah dah ilang gegara ikn, ini isu wadas ilang lagi nih gegara jht cuma bisa dicairin pas usia 56 tahun. jago banget emang main caturnya heuheu, miris nasih rakyat",Anger,274,50
968,chenle gamau di halu'in' gue saat itu kesel banget anjwingg kayak buat apa gitu loh bilang gituan heran gue kalau lo emg ga suka ya udah ga suka ngata2in ga ada yang maksa juga lo tu suka sama chenle itu hak lo but kalau ga suka ga usah hate emosi gue,Anger,251,51
969,paling males banget dapet message yang suka ditarik2 iss masalah hidup lo apa sii?!,Anger,83,14
970,"bener banget jaman sma dulu ada lgi temen yg suka gitu,mana dia bangga bgt abis nipu demi bantuan didepan gue padahal tinggalnya di komplek perumahan yg bagus. mau marahin tapi asyudahlah dianya juga gada kesadaran",Anger,214,35
971,"sekiranya ig dipegang sm cowonya, jangan followan sm sec acc aing karna gada cowo di sec acc aku dan tbtb cowo tmn w ngeliat gtu aja suka ngelike ngelike. ga banget",Anger,164,31
972,"ga suka banget org sembarangan naik ke kasur aku pas keringetan, atau kakinya ga dibersihin dulu padahal abis dri luar trus berpasir, naikin kaki seenaknya, badan lengket sama keringet. kamar aku apek kan jdinya aku mesti bersihin ulang. dilarang ke kamar, dibilangnya rahasia2an",Anger,279,43
973,"aku dulu ada temen sekolah gayanya selangit, sok kaya banget, mana julid lagi, suka berantem dan ngerasa punya kekuasaan, eh ternyata minta keringanan biaya karena dia miskin trus temen kuliah dia orang kaya punya warnet, minta keringanan dr kampus buat bayar sampe 3 semester",Anger,276,44
974,"tapi kami suka kpop itu tulus kak. gak ngerasa juga dimanfaatin. karya mereka juga bagus kok. menurut kakak, karya mereka ga bermanfaat? mau aku kasih liat penghargaan2 yg mereka trima? julid amat sih. gitu banget bencinya sampai dibentur2in ama even motogp. aneh.",Anger,264,42
975,kenapa si suka banget memaksakan kehendak -.-,Anger,45,7
976,makanya orang tuh kok ya aneh banget. suka overthinking gak jelas trus ngajak2 orang lain. jadi heboh sendiri,Anger,109,18
977,"gemini plin plan banget, suka bgt ngerubah rencana seenaknya. mn orgnya ga jls",Anger,78,13
978,demi tuhan risih banget. twitter ada fitur kayak gini di timeline ih. udh di silang masih suka muncuull,Anger,103,18
979,"kenapa ya orang2 kok suka banget cari2 kesalahannya aespa? iri bilang sahabat. damn, kalo gasuka mending gausa diliat.",Anger,118,18
980,"nah. selingkuh tuh penyakit. ga ada kata khilap. lo selingkuh kan dalam keadaan sadar. udh salah masih aja bela diri. please, jgn suka jajan diluar atau sex sembarangan, lo sakit yg kena orang rumah lo anjg mbak2nya kuat2 banget ya allah semoga selalu sehat mbak",Anger,262,45
981,"gue ga suka banget dichat terus.. ya kalo pembahasan lo bagus dan menarik bakal gue tanggepin, masalahnya pembahasan lo tuh itu"" aja dan hal"" yang lo bahas tuh hal"" yang menurut gue sensitif.. jadi ya gue males balas chat lo",Anger,224,40
982,sampe gapaham apa salah aespa ke bts sampe fans bts alias army suka banget ngehate aespa. kayak yaampun fandom idol umur 7 tahun lebih hobi banget ngrusuh fandom idol yg baru umur setahun. kenapa ya army2 ini toxic bgt. terutama western/non asian army. asli sih rese bgt.,Anger,271,47
983,"dihh ga sopan bgt, ini kurir kurir anteraja sama jnt pada ga bener apa gimana sih, suka banget bobo paket orang buat hal yg ga berguna gitu",Anger,139,27
984,bagus untuk menampol sisi patriaki warga sokor yang sangat super duper kuat paling suka adegan mereka makan malem bareng kantor terus si ketuanya (yang mana cowo) bisa seenak jidat makan dimeja karyawan cewe (jiwoo) terus berantakan banget lagi makannya sumpah itu adegan,Anger,271,42
985,"setuju, makanya kadang gue suka gedeg sama yg pro sm banget kayak anjir mereka aja urus artisnya ga becus",Anger,105,19
986,"pasti guru gue dah ini, kaku banget sih gue kesel",Anger,49,10
987,ya terus kenapa? ga suka? iri? dengki? ribet banget yak ada orang asing bikin konten karena lagi pramusim di indo terus dikomenin nyari engagement? terus harus ngapain? ga posting kegiatan pramusim mereka? manusia ribet anjir.,Anger,226,35
988,"tiap sabtu kebangunin anjir grgr dibelakang rumah ada ibu ibu suka senam dan pake speakernya tuh gede banget anjing suaranya kaya bener bener gede banget gila, udh pernah ditegur sebenernya tp diulang lg gt kaya minggu depannya pasti gede lagi si suaranya :) bgst pen tdr aku",Anger,275,47
989,"males banget, nge-chat w kalo cuma mau nirun, huh. di sekolah aja lagaknya kayak orang pinter, tapi suka nirun aing",Anger,115,20
990,"kesel banget sumpah, gimana ya. bisa2nya ngomong ""nanti kamu suka sama yang lain, aku ditinggal"", punten, kamu suka sama aku aja aku udah keong2 (hah?), kamu ngeliat ke arah aku aja aku udah beruntung banget loh, ""aku ditinggal"" gue ninggalin lu kemana sih? tukang martabak?",Anger,274,45
991,suka banget ikut campur nih kanye pdhal ga ada yg nyebut nama anjir.. dahlah problematik emng,Anger,93,16
992,"hadeeh kadang gue bingung banget yah sama cewe suka update2 kalo dia jadi selingkuhan gini tuh ceritanya merasa cantik banget apa gimana sih? jahat tauu beginii.. udah jahat diumbar2 jahatnya, gue aja yg cewek ilfeel liatnya, huftt.",Anger,232,37
993,jends ngasih info kadang suka banget dadakan deh kampus bikin keki,Anger,66,11
994,"pernah, pas ngomong sama twice, aku bilang temen ku suka sama exo ke nayeon, goblog banget anjing, exo mah ke grup exo ya bukan ke twice, mana nayeon mangut mangut kayak bangga",Anger,176,32
995,"alasan utama nya adalah karna sangat"" melokaal (dari yg dia cover lagu cinta luar biasa, trs kalo ngomong indo tuh udah kek orang indo. bener"" yang kek ni orang beneran orang korea gaasih?! terus juga warna kulit nya yang aku suka. beda aja gtu dia sama temen""nya yg lain)..",Anger,274,49
996,"nenek ma mak ku nih, tapi klo ada orang lgi ngomong kadang suka ikut njawab, heran banget",Anger,89,17
997,ini twitter knp sih?? suka banget nyesi ga,Anger,42,8
998,"bapak sialan ya gabagus buat contoh, songong, bgst, capek bgt pasti punya bapk kek gitu. ha ha ha, arsen zeyeng, suka bgt gaya lu broo sayang arsen banyak2",Anger,155,28
999,bnsatt anjirr pagi2 bikin emosi. kalo ga suka anjing kenapa pelihara?! tiap hari selalu denger anjing nangis kena pukul. emosii. mending lu kasih orang dah tu anjing daripada disiksa setiap hari. kesel yatuhan dengernya ikut sakit denger anjing nangis,Anger,251,39
1000,"honestly im not the cheerful type orangnya lebih suka diem, kalo ngga penting males ngomong, ngga mau sok asik juga. but.. karena tuntutan peran, jadi sok baik deh haha lucu banget maksain buat two-faced, kesel juga sebenarnya",Anger,226,37
1001,"eh buset gedeg bgt bacanya anak setan lu pada, justru ini yg gua suka dari 2gether di ceritanya bener bener nunjukin cinta ya cinta, bukan cuma tentang nafsu doang.",Anger,164,29
1002,"jujur gw kesel banget banget sama si anak kecil yang suka ketawa. kek. sumber masalah, ketawanya nyebelin bgt. hhhhhhhhhhhhhh walaupun dia dr desa yg org2nya kebiasa ketawa krn keadaan, harusnya dia bisa ngatur mulutnya buat diem lah. dikutuk apa gmn si",Anger,253,41
1003,suka banget menyengsarakan rakyat.. kemarin ngotot gak mau menaikan ump skrg mau atur atur iuan pekerja yg dipaksa potong dari gaji,Anger,131,21
1004,"polos banget kamu v ada yang hate kamu malah kamu anggap bercanda, bener"" gak nyangka msh aja ada yng gak suka ama org baik seperti ini",Anger,135,26
1005,gak suka banget kalau ujung2nya kek ngebandingin kerja keras orang. kek apa anjer masing2 orang udah kerja keras sebisa mereka,Anger,126,20
1006,"suka banget ya dikasarin, giliran ditampol beneran nangess, dasar orang ga jelas",Anger,80,12
1007,"sumpah benci banget kalo dibalesnya gini. iye sehat-sehat aja sekarang, merasa bersih, tapi di dalem badan nggak ada yang tau. apalagi kalo main sana-sini dan suka seks berisiko. masa sih tega celakain orang yang katanya lu sayang?",Anger,231,37
1008,buat sendernya emang harus banget ya semua orang harus bisa bawa motor? kalo temen lo atau siapapun itu suka gatau diri ya lo bilangin lah,Anger,138,25
1009,"lo aja kali yang terbebani aneh, kalau gamau nolongin yaudah gausah aneh banget si lu. gua aja gak terbebani malahan suka nawarin boncengan. kaaya baru bisa naik motor aj monyet.",Anger,178,30
1010,kan emang anjing si simon ini tuh si chio emang da suka sama ibel tapi dia takut kalo dia jatuh cinta sama si ibel bakalan melakukan kesalahan yang sama kek si simon,Anger,165,32
1011,"rame banget mall. kenapa juga semua orang pergi ke mall hari sabtu, minggu aja gitu sekalian. keluh kasper. ada lima belas menit mungkin mereka berputar cari tempat untuk parkir. ini salah satu alasan kenapa kasper kurang suka menyetir dikota, susah sekali parkirannya.",Anger,269,42
1012,"makanya gak suka banget kalo udah ikut campur, krn bukan bikin benar dan menenangkan, malah campur campurin makin awur awuran. i lost respect to you since years ago. so shut up",Anger,176,31
1013,"yg suka merusak tatanan, jangan di kasih ruang. wahabi lokal..",Anger,62,10
1014,"kalo bocah koar koar kasih bukti aja biar diem, gua gak suka kedamaian",Anger,70,13
1015,tai banget weh ini udh r9 mbak mas baru ngomong gini skrg napa kaga dr dulu2 sebelom event? pc suka disold out in tapi tau2 sedekah r1-r9 komplit ke influencer monmaap kalo jujur2an prioritas fans adalah pcnya bukan produknya ya gimana ya,Anger,238,42
1016,"tak jamin kasih rumah perumnas ku satu ,jika loe bukan grombolannya mereka ?? sdh kelihatan pki pkinya di nkri nusantara siapa sih ?? ya yg suka teriak teriak pki .?? ditanya pki nya ,eehh ga ada ,diajak laporin ke polisi ya ga ada ,tapi jualan bakar bendera baru. ??",Anger,267,49
1017,"amit amit banget gila kek bangga bgt tu orang suka ngentot sana sini, kek big rewards buat dia, sinting banget goblok",Anger,117,21
1018,"rumit banget jadi orang ya ,kalo ga suka ya simpel keep aja sih.ribet banget hidupnya",Anger,85,15
1019,"sumpah ya tuhan, maaf banget. tapi semoga dia dpt balasan karma setimpal krn ga adil dan suka nipu bawahannya.",Anger,110,19
1020,"heran banget temenku knp suka ngajak gelud si anj udh tau lagi di jauhin lagi ga chat"" an ya brarti aku lagi ngehindari percecokan kok malah nyari ribut geoblog sia teh",Anger,168,31
1021,"sch! ini caranya gimana yaa biar temen temen ekstrakurikuler ndak pake kelas sender buat jadi ruang pertemuan. udah ditegur sama wali kelas sender masih bebel banget, mana kalo pake tuh suka gak ijin, terus kelasnya dikotorin lagi, sama kipas gak dimatiin lagi. sebel liatnya",Anger,275,44
1022,"benar banget, cancel culture dan pembenaran diri sendiri ala sjw zaman sekarang benar-benar sudah ditahap sangat menjijikan. gak beda jauh sama orang-orang di jalan, yg suka main hakim sendiri sampe bikin nyawa orang melayang",Anger,225,34
1023,suka gatel banget mas kalo yg ginian ga disebarin yawloh,Anger,56,10
1024,"gue liat ada yg ampe bilang ""lo ngarepin apa dari fandom ini"". kayak, anjir bgt lo! kalo sekiranya lo ga nyaman ada di satu fandom, dan lo cuma suka sama salah satu membernya, tolong deh, gausah ngaku bagian dari fandomnya.",Anger,223,40
1025,oalahh jadi elu yang suka kentut diem diem?? mana bau banget lagi njink,Anger,71,13
1026,gak paham gue. emang harus banget gitu gvk lo laporan kalo punya pacar ke ja3? justru itu waktu yg tepat buat ngenalin kalo te itu pacar lo goblok! gimana te gak kecewa. gue jg bakalan marah kalo jadi te. ini lg si ja3 suka sama lo hadehh,Anger,238,47
1027,sinyal kenapa suka banget bapuk tibatiba y. emosi allahu,Anger,56,9
1028,suka heran sama tipe manusia yg ga ada angin ga ada ujan tau2 sinis bgt tiap diajak ngobrol. tp cuma ke lu doang. ke yg lain b aja. kek why? kasih tau aja napa salah w dimana,Anger,174,37
1029,"semenjak bisa belanja online, beliau suka beli barang yang sebenernya nggak dibutuhin banget, ujung ujungnya disimpe di sembarang tempat terus ibu ngedumel karna jengkel",Anger,169,24
1030,"bener banget. gue exol dari jaman overdose. pas orang tau gue exol pada bingung gitu, kok gue masih suka sama mereka padahal mereka udah ga terkenal dan udah tua. pengen banget gue sumpel mulutnya pake kaos kaki. gue ga jawab karna takutnya jadi ribut, langsung gue tinggal aja.",Anger,278,48
1031,"itu gatau harga akun apa gimana, suka nyesek kalo ditawar sampe jatoh banget mana upf sekarang susah",Anger,100,17
1032,kelakuan temenku tuh suka kek gitu.. bilangnya otw eh tau taunya lama banget :),Anger,79,14
1033,guru gue campur campur aksennya anjir.. suka kudu teliti banget liattin gerak bibirnya t_t,Anger,90,14
1034,"suka kesel nggak sih, ketika udah dibantuin tuh nggak bilang makasih. bukannya gua mo ngemis ucapan terima kasih, tapi kek sifat lo kesannya jadi jelek di gua. apa susahnya ngetik makasih gituu, apalagi lo minta bantuan ama orang random ketemu di internet",Anger,255,42
1035,"saat itu juga pengen gua tonjok tapi ditahan jadinya gua dorong aja ampe jatoh dari bangku kalo suka tu bilang, lah ini malah bikin 3 kelas benci gua semua manaan ada yang bikin grup ""haters nya bella"" kenapasi alay banget goblok",Anger,229,41
1036,"masalah nya yang spread hate nih cowo yaallah gua keseringan ribut sama cowo mulu jaman smp tuh anjrit bolak balik masuk bk soalnya ribut mulu, pas ditanya alesan nya bangsat banget ""saya ga suka dia bercanda nya sama yang lain selain sama saya bu"" anjingg",Anger,256,45
1037,jahat banget!! buat kalian laki laki tolong jgn suka jajan sembarangan dong!!,Anger,77,12
1038,"dia nie ngeselin bngt ke guee suka bngt ngisenginn, tp dia tu kek andalan para guru, trs wibu (cm g banget), produktif tidak seperti sayaa, social butterfly bngt, gampang akrab sm orang",Anger,185,32
1039,kasian ceweknya pasti sedih banget dia. ya kalau lo punya pcr cowok jg jangan begitu anjir.. w tau diindo tu susah ya nerima itu masih dan kadang w aja yg suka masih nutupin tp jangan nyakitin org lain demi buat nutupin kenyataan sama aja lo selingkuh woy kasian cowok sm ceweknya,Anger,280,51
1040,"duh tuh anaknya nanti kelakuannya mirip gue banget deh. biar bisa dinasehatin terus tiap hari. daripada dulu suka nyindirin gue berkedok self reminder, mending langsung kasih copy pastenya aja ke mereka tuhan haha",Anger,213,33
1041,"saya sering banget ini gini, apalagi sekolah suka banjir kalo ujan. kan jadi nya nyusahin",Anger,89,15
1042,"kanye nih napa suka banget nyenggol yang lagi naik deh, toxic anj",Anger,65,12
1043,mereka suka playvic gitu knpsi sumpah pajamas kesel banget. nanti merembet kemana mana ya kayak semalem ngebela th dibilang solo stan kan anehh,Anger,143,23
1044,"gua emang orangnya suka becanda, tapi bukan berarti ga bisa serius. please be smart, ga semuanya bisa lo candain. jangan biasain bikin orang risih dengan sikap lo, jadi sekarang gua minta tolong please lo semua uncrush gua tolong banget. gua ga nyaman sori",Anger,256,43
1045,"brisik banget, ga suka.",Anger,23,4
1046,"buset! parah banget ya logika ibu ini, ini keluarga ibu yang jadi karyawan ga ada yang merasa keberatan ya, dengan kebijakan timpang ini. u cek deh lapangan, banyak penganggur, pesangon dari perusahaan suka ga jelas, ngomongi jkp, ga semua orang juga mau di jkp ampe kesel w",Anger,274,47
1047,"soalnya tiap ketemu yg ngaku suka banget sama muse, kalo ditanya: ""oh suka muse, suka lagu muse apa?"" ""supermassive dan starlight mas"" pergi! jauh2 kamu!",Anger,153,25
1048,namanya plot hilangnya maksa.. ntah mrk mau akhiri dgn seolah2 ketemu aja atau dibuat hilang tbw sampe yg punya raga balik.. cuma kmrn aja ku nonton udh kesel bawaannya..gak suka banget sama plot hilang ini..,Anger,208,35
1049,"di rl sering banget nemu model cwo begini, bucin sma istrinya pamer ke mesraan di sosmed jadi udh biasa liat cwo model begini, tau"" pny simpenan dan suka check in sm cwe lain makanya smpe skrg susah banget percaya sma namanya laki-laki apa masih ada cwo yg tulus dan setia",Anger,272,50
1050,"hadeuh kalo inget bulan ini bikin sakit ati banget anjeng, udah deket lama aku nya udah suka eh malah ujung ujungnya sama adek kelasnya kan anjenk kesel sendiri jadinya",Anger,168,29
1051,sekarang lagi jaman yang ga suka film/drama korea juga nghype film/drama kor ya ntar review jelek halah kalau emang udah ga into mah mau sebagus apapun bakalan ga masuk -_- heran deh pada seneng banget review jelek ke sesuatu yang lg rame dikira keren banget apa ya -_-,Anger,269,48
1052,"hh benci banget sama akgae, akun yg suka bahas 1 member aja trus suka berantem sama akun lain udah aku bub berantem gitu lama lama bakal saling jelekin member lain trus berubah jadi akgae aku maless mutualan sm ornag kaya gituu",Anger,227,41
1053,suka banget ngetease jay. sadar diri wooyy !!!,Anger,46,8
1054,hahaha betul sekali aku aja susah kalo udah gak suka sama orang benci nya sampai lama banget,Anger,92,17
1055,"tapi lu selalu ngasih argumen seakan lu doang yg sakit anjing. kalo emang lo ga suka sama gue fine tinggalin gue dari awal, dan ga perlu ngerespon lebih dri itu, justru lo ngerespon seakan yg bakal kejadi nyata banget.",Anger,218,39
1056,"coba deh, sehari aja puasa ngegosip, nggak ngomongin orang. kira-kira bisa nggak?",Anger,81,12
1057,"emang kenapa saya cinta bendera merah putih saya cinta negara indonesia, situ nggak suka bendera indonesia. trus mau merongrong ogah kerja atau gimana? kalau berani ngomong sini gak usah sembunyi, pengecut",Anger,205,31
1058,bisnis haram nih artis indonesia yang suka banget bekerja dg uang haram hindari dan jauhi bisnisnya karaoke dll.. biadab banget mengajak masyarakat kpd hal2 yg negatif jauhi mereka semuanya para artis yg menjerumuskanmu keneraka jahanam naudzubillah mindhaliq .,Anger,261,38
1059,weekend nya ga santai banyak hapalan huft,Anger,41,7
1060,"dulu untuk jadi ustadz di pesantren, ya harus sudah mumpuni dalam bidangnya. bukan siapa saja boleh gak kayak sekarang banyak sesat!!",Anger,133,21
1061,ya sukurin aja biar gk nyinyir nyebar fitnah. biasa aja keles.,Anger,62,11
1062,"jangan cuma beraninya nge dm doank buktikan dengan ngajak kita ngeroom..jd bisa di buktikan semuanya,tidak semata bualan,atau halu saja..",Anger,137,19
1063,"nikmatin -_- saya ada 2 yg asli jarang ada kabar yg 1 lagi malah kadang jadi temen, jadi musuh, jadi temen mabuck, dll -_- kesel",Anger,128,25
1064,ada yang mulai sebar bacot!! pesan prabowo ke seluruh kader gerindra: jangan jauh-jauh dari ulama!,Anger,98,15
1065,"sangat, sangat kesal dan merasa tidak enak. aku biasa memperkenalkan suasana keseluruhan album melalui highlight clip untuk setiap album.. tujuannya adalah untuk memaksimalkan dan meningkatkan karakteristik musik secara visual melalui video dengan kualitas terbaik.",Anger,265,34
1066,"yang sedang saya alami. kemaren saya ada hubungan sama seseorang. 3th aku sama dia. kita udah sama sama dewasa. saya berusaha (finansial). tpi dia malah santai kyk gk mikir gimana caranya. saya sabar, telaten sama dia. tpi dia seenaknya saja.",Anger,242,40
1067,pengen mengumpat seperti biasa.,Anger,31,4
1068,"serpihan apa? si anis beruntung mewarisi hasil kerja jokowi ahok jarot, dia tinggal cengar cengir gunting pita kayak badut goblok . mrt sudah jadi, busway sudah pakai bis eropa,kampung pulo sudah normal, kalijodo udah rata, coba sebut 1 aja pembangunan si anis yg berguna..?",Anger,274,44
1069,kan arteria dahlan cuman wakil rakyat toh.. lah terus rakyat yg punya hak di abaikan begitu saja .. kalau begitu tidak usah menjadi wakil rakyat biar rakyat sendiri yg bertindak dan menindak lanjuti setiap kejahatan dan setiap ada kasus2 ampe kesel bacanya,Anger,256,42
1070,lebih bagus elo murtad dari pada ngaku islam tapi bikin sampah di islam.malah ngotor ngotorin saja,Anger,98,16
1071,"hebatnya indonesia .. gak cuman pemilunya saja, tes covid pun juga begitu !?!?",Anger,78,13
1072,orang normal sarapan nya makanan lari nya ke perut lah kita pagi pagi sarapa bikin kepala kejang !!,Anger,99,18
1073,"ujunga""nya jadi bangkai saja buanga"" duit aja gak guna dan gak ada satupun proyek yang sukses kesallll mau tampol",Anger,113,19
1074,"emosy dah sm cowo yg suka nanya begini, mangnya semua cewe cuma mau naik mobil?! kalo misal dulu pernah punya pengalaman begitu sm cewe ya berarti emang cewe itu bukan target pasar lo soalnya cewe jg biasa kemana2 naik ojol broo",Anger,228,41
1075,"itu orang muka badak,.. merusak nama pp saja..",Anger,46,8
1076,"kalo biasa dengerin apa kata pastor, jangan ngomongin al-qur'an. lompat pagar namanya. jangan jadi begolah",Anger,106,15
1077,"iyaa ,, sebagai lulusan fh malunya luar biasa dan sangat tidak tau diri, menyedihkn",Anger,83,14
1078,"laah yg bicara soal hoax siapa bos? hoax itu tentu aturan hukumnya. disini bahas kelakuan buzzerp yg seluruh berbeda pandangan politik lalu disebut kadrun. kalau soal hoax ya pasti pidana lah, jgn kau katakan org kritik ke pemerintah itu hanya menebarkan hoax saja. pea",Anger,269,44
1079,"gue yg mutusin emang, tp yg pamit rest emg siapa tau2nya gue dpt kabar begitu. disuruh keep it private dikira gue gatau apa kalo dia juga nyindir gue mulu, diem diem asu apanya yg diem, kalo ada main qrt gitu jadi ajang buat jelek2in gue",Anger,237,45
1080,"fuck masa lalu,, gila pagi2 uda di ungkit2 saja si kupret yg di anggap baik,,",Anger,77,15
1081,makin hari makin tai palat haha. awal2 saja tu lai jgn tah mun nda beduit nda ko bguna tu bangsatt haha,Anger,103,21
1082,santai aja bg. aku nanya karna emg gatau. di caption fungsi nya utk mengurangi kelelahan. aku baru tau. cara kerja nya yang gatau. santai ya bg. jgn gampang goblok goblokin orang goblok,Anger,185,32
1083,"orang cuma bisa nya ngeliati hidup orang lain saja, tp mereka nggak pernah ngeliati hidup mereka sendiri aja belum bener!",Anger,121,20
1084,gue heran knp masih pada bilang funny dan gatau deh apa normal dsana kah? pdahal jls2 salah satunya kliatan ga nyaman. dan sialan bgt pake ada yg bahas masa lalu m. oh dasar haters dan fans si onoh kan lu. bangke pagi2 bikin naik darah aja.,Anger,240,46
1085,"dichat dia sampe 20 pesan, ternyata tadi gue mimpi bangstt",Anger,58,10
1086,"lah anjir kalo udah biasa manggil adik mah adik aja kali, gajelas lu anjir. emang lu aja aneh masih cari pembelaan",Anger,114,21
1087,"bubarkan saja ..ga ono manfaate, opo kontribusi gawe negara ?? Edan",Anger,67,11
1088,"gk usah mewek udah biasa gue liat kpop keluar masuk.gk usah lebay gk jadi lockey lagi.karna bias lu out.dalam dunia kpop keluar masuk itu hal biasa.kalau agensi dan denise tidak sejalan beda kemauan mau apa lu.mau maksa denise stay.mau maksa vine cegah denise ttap stay gk bisa, bikin jengkeeeelll",Anger,297,49
1089,pasti profesor goblok satu ini baru saja ngelonte mkanya pemikirannya jadi seger gini. bagi org kafir ngelonte itu ibadah yg utama,Anger,130,21
1090,cowo kek gini alasan nya udh biasa di dengar,Anger,44,9
1091,"nama satu orang tercemar saja melapor ke polisi minta diusut tuntas..lingkungan hidup dgn biota jutaan makhluk hidup saja, tak satupun ada yg lapor ke pak polisi ..berarti biota lingkungan ini lebih bisa mawas diri koreksi diri..!! alloh lebih menyukai hamba pemaaf ..!",Anger,269,42
1092,"anjing.. korupsi 2,1m cuma 1thn 4bln..apa kabar yg maling ayam karna lapar..karna hak nya di makan oleh pejabata"" macam manusia ini.. indonesia oh indonesia..miris bgt negara aing",Anger,179,27
1093,wehh bngt sedih bngt anjing w campur kesel gegara muka lo kayak orang bego,Anger,74,14
1094,akibat?? pernah liat plat b bawa kendaraan di luar jakarta? ugal2an padahal jalanan sepi kayak dikejer setan bego gitu,Anger,118,19
1095,"tapi keselnya sih ya itu, ada pertanyaan dari base yang mewakili gue banget, tapi kok sepi banget, gue udah nungguin padal",Anger,122,21
1096,wes kesel + kecewa,Anger,18,4
1097,"di komplek aku jg gini. kakek jual lap pel memelas cerita sedih, aku kasian dong aku beli dgn harga mahal, eh besoknya dia gt lagi ngarang bgt jd aku marahin trs kabur. ada nenek pengemis gt jg tiap hari aku kasi duit kasi makanan, ketemu di indoapril lg nuker duit 1,5jt/hari",Anger,278,51
1098,ini boleh ga si aku kecewa or marah sama dia haha.. cuma krn aku beli acrylic frame trs majang pc bareng sama polaroid ortuku dia blg gini apa aku doang yg sensi nih ya dikira nge kpop bikin lupa semua hal? bahkan ortu sendiri? lo bikin gw makin ga mau kenal spesies cowok dasar idiot,Anger,284,55
1099,"aku jengkelnya ke semuanya sih, mbulet kyk benang kusut btw udah selesai bacanya? kalau udah no spoiler please",Anger,110,18
